X Y Z
471.17 109.99 300.83
515.33 683.04 361.02
497.09 280.62 331.74
96.01 818.89 300.79
873.71 462.92 299.89
604.00 808.97 317.47
647.06 507.49 390.36
424.71 883.03 301.49
662.49 186.87 301.29
521.01 53.30 301.31
441.49 325.72 391.43
377.73 812.06 300.93
316.45 179.33 320.81
179.68 391.48 315.53
947.06 73.03 299.08
616.24 329.13 313.64
259.88 862.84 301.33
85.85 657.05 300.44
284.22 397.44 368.85
582.17 406.47 371.58
276.46 460.68 340.89
553.36 448.56 440.00
230.98 190.17 323.89
640.48 180.92 300.32
418.43 683.69 317.88
907.51 832.83 306.28
496.62 661.46 368.99
633.89 746.82 353.78
143.35 239.95 312.54
301.96 116.36 306.28
542.79 264.22 310.91
949.74 421.20 301.30
240.52 373.90 343.27
533.98 741.37 330.36
531.35 160.17 299.64
897.24 307.66 298.55
441.70 463.34 485.42
595.90 290.91 309.09
104.57 469.22 301.09
261.90 758.17 300.08
457.27 90.29 301.44
490.31 641.55 384.90
744.42 376.90 302.98
247.90 759.40 300.54
304.94 545.86 323.98
174.46 260.62 319.94
50.06 499.40 300.83
602.32 124.87 300.15
606.42 505.39 432.07
153.13 626.64 298.79
201.41 756.85 300.19
222.85 682.71 300.78
139.01 850.06 299.15
816.53 151.73 300.32
389.55 511.86 413.19
522.17 363.72 380.89
587.42 415.36 375.82
81.77 517.02 300.49
322.81 61.71 301.19
134.39 456.42 301.17
766.05 94.01 301.18
704.42 736.79 356.84
184.13 138.71 309.29
464.93 155.64 303.52
420.60 699.54 312.34
635.38 102.72 299.80
611.15 567.29 453.43
277.74 877.15 300.06
220.02 736.69 301.49
317.85 725.47 302.16
894.40 644.84 304.87
118.78 216.83 310.19
862.67 947.20 303.44
161.72 638.62 299.66
52.96 667.01 300.70
337.89 499.28 372.15
682.10 400.65 312.87
304.51 194.83 326.62
311.89 374.07 394.93
220.79 420.82 323.86
284.99 557.59 313.03
503.11 52.38 300.53
810.48 55.40 298.95
76.00 188.26 304.67
444.71 215.32 315.82
917.03 181.03 299.71
309.62 824.45 299.78
896.50 271.72 298.51
339.22 440.94 406.22
857.43 142.38 299.93
485.65 635.18 387.67
215.05 164.27 317.95
733.84 557.02 341.02
547.02 604.45 454.61
92.89 340.64 303.10
62.62 421.67 299.18
783.79 627.63 329.90
521.64 95.92 300.39
635.05 850.37 309.36
135.09 845.36 299.75
406.52 739.56 304.29
94.28 698.13 300.49
585.58 820.37 311.35
229.66 214.21 329.57
582.57 652.85 420.56
719.12 689.06 367.42
526.09 410.84 425.26
262.83 240.77 343.54
817.66 440.15 299.71
810.08 618.35 320.05
911.29 484.00 299.77
776.83 681.23 340.28
841.64 530.51 303.43
564.93 308.77 320.40
334.73 584.37 323.54
745.84 454.56 308.04
647.06 618.90 424.66
85.72 598.73 299.12
869.48 789.96 312.12
938.67 913.35 301.80
769.75 780.72 330.48
618.39 84.48 301.37
866.30 448.47 299.37
365.45 123.06 305.35
838.98 815.60 313.28
843.44 321.84 301.02
187.63 796.55 300.27
822.78 491.07 301.38
864.85 838.41 308.20
405.58 166.67 308.53
824.31 294.36 300.35
309.83 528.53 332.99
730.10 252.91 300.87
742.93 835.92 318.91
101.35 182.41 307.72
74.47 476.01 301.44
591.21 632.34 438.78
366.46 833.90 300.99
77.46 608.52 301.09
609.68 224.02 302.62
219.31 426.96 321.99
615.00 645.67 427.50
248.31 699.29 300.01
60.48 865.85 299.80
353.54 508.20 380.80
556.92 816.34 308.49
914.82 615.45 301.16
571.76 919.55 300.67
65.57 361.43 300.88
731.55 242.62 298.88
513.61 137.16 299.86
368.19 793.30 300.33
845.99 827.42 311.50
279.67 949.52 300.43
930.97 428.27 299.80
385.08 806.28 299.68
112.07 228.14 308.59
330.11 665.48 305.95
762.90 888.45 308.18
164.11 634.07 298.73
495.82 514.51 498.80
565.56 560.63 481.22
642.53 667.97 405.76
591.71 63.74 301.15
411.44 855.94 299.54
746.97 388.39 303.28
944.91 802.35 302.68
799.25 745.44 329.22
497.41 237.67 313.68
916.03 151.96 300.35
785.51 71.57 299.84
646.77 250.36 300.93
105.35 306.33 307.23
260.20 908.53 299.53
95.27 787.20 298.83
398.96 427.79 460.66
416.05 257.52 343.65
184.12 363.89 318.36
619.50 941.05 302.15
848.04 140.39 301.04
440.32 155.81 303.52
362.72 710.81 304.38
361.37 440.68 427.79
263.10 71.05 303.56
455.90 325.18 383.83
148.70 353.17 309.25
522.63 865.19 301.91
82.69 928.67 300.03
930.77 414.79 300.28
399.38 535.40 405.21
603.51 688.12 393.42
937.73 105.88 299.53
817.20 776.35 321.72
481.36 136.77 301.47
752.53 474.02 311.87
431.29 246.44 333.06
499.63 718.25 329.21
126.26 126.21 306.94
135.46 323.00 309.71
525.24 237.55 308.11
473.36 126.87 300.96
233.06 145.85 315.25
184.78 592.49 299.67
587.48 630.26 438.62
731.23 568.86 348.24
92.37 480.59 300.55
569.24 631.38 436.23
149.15 146.11 309.71
129.29 603.47 300.95
875.13 759.00 309.73
902.21 677.77 303.39
594.22 756.25 339.45
937.75 239.29 301.32
936.31 282.74 298.87
311.37 441.37 377.52
509.86 691.00 352.14
829.63 469.60 302.83
829.36 667.17 316.89
370.80 621.67 323.72
144.28 266.75 313.35
636.00 364.36 316.30
249.62 693.71 301.06
613.35 74.99 300.34
672.57 512.15 369.26
398.78 243.72 340.77
742.48 920.71 303.69
379.03 882.86 299.12
369.60 539.80 371.74
842.89 903.38 304.07
299.90 742.69 299.37
545.28 368.57 367.78
598.28 75.19 298.96
674.72 324.73 304.43
100.48 180.89 305.92
378.45 882.76 299.02
797.52 807.40 319.43
478.08 403.71 451.42
191.13 883.92 300.38
560.31 612.72 450.53
354.32 54.55 301.13
711.41 546.73 353.58
81.97 273.46 304.10
340.93 301.46 386.07
866.61 840.66 307.44
636.59 440.15 353.81
648.59 631.53 421.40
199.05 670.64 300.82
348.84 792.91 299.80
223.39 928.20 301.41
52.83 87.40 303.36
517.83 573.02 470.73
810.06 934.63 302.72
360.38 705.09 304.78
791.82 448.89 302.50
149.01 577.52 301.47
897.74 679.44 306.57
