X Y Z
529.63 346.04 291.63
823.19 462.90 338.54
105.66 367.99 351.94
215.99 91.10 267.64
574.22 899.64 242.39
622.23 544.50 304.64
300.62 206.55 282.61
922.07 876.02 314.00
559.16 346.25 292.51
710.14 801.75 282.23
337.42 166.49 268.28
936.73 688.65 358.36
651.17 654.15 299.77
783.69 498.64 330.10
495.55 908.09 237.77
927.71 610.44 363.99
132.32 162.69 308.13
878.89 667.06 343.41
268.91 286.95 302.90
79.12 641.76 358.71
754.60 393.78 320.02
84.16 522.18 364.65
314.64 748.98 289.48
347.96 403.67 305.29
447.12 227.87 273.18
470.18 407.03 297.07
624.08 800.03 271.98
778.82 232.16 302.23
819.74 590.01 335.20
697.86 158.83 271.20
871.31 945.91 277.01
674.14 359.37 304.00
330.87 205.14 277.97
170.17 718.62 323.07
872.71 810.16 315.93
125.23 58.39 279.52
526.08 500.75 300.38
219.57 822.84 290.48
91.90 916.80 297.10
463.03 761.05 274.95
761.62 644.35 317.86
620.57 776.48 276.57
82.38 186.01 328.37
490.48 554.44 299.03
725.55 360.31 311.69
711.11 472.69 316.39
452.28 834.39 259.07
295.52 723.99 296.68
568.90 502.36 301.97
298.66 456.67 314.37
668.48 536.78 310.04
272.66 136.50 270.05
709.62 439.06 315.03
144.43 931.47 277.61
631.63 278.67 288.30
50.33 203.42 343.05
792.82 842.74 287.89
817.08 905.07 276.23
738.58 280.29 303.43
334.73 774.68 281.74
763.43 525.42 325.58
166.96 529.53 341.28
702.13 857.89 267.43
340.94 244.52 284.94
648.39 454.77 307.40
315.72 142.78 265.07
413.64 162.31 260.25
340.26 949.30 233.77
217.91 328.13 318.77
584.11 112.02 246.25
201.87 446.22 332.37
580.12 793.72 270.04
469.28 694.81 285.99
585.49 443.54 301.49
587.36 395.85 298.98
581.85 829.70 261.79
463.63 554.61 299.38
706.20 453.37 315.23
152.35 64.01 274.18
205.30 294.44 316.74
625.90 299.86 291.15
62.42 743.17 349.67
661.12 915.43 244.91
258.95 888.59 265.25
362.49 856.79 259.29
554.07 867.61 250.23
693.74 684.76 301.40
205.07 88.59 269.12
552.69 838.35 258.11
253.18 451.14 321.82
439.68 567.58 299.79
220.19 378.54 323.64
281.29 212.85 286.91
268.74 527.30 319.88
372.35 226.84 278.17
80.93 595.57 362.31
659.28 152.16 264.00
606.43 68.21 234.28
900.25 935.46 289.06
592.20 941.39 230.11
536.92 129.66 249.01
675.16 240.27 286.33
684.60 557.61 311.74
205.32 937.50 260.99
434.49 397.54 297.88
258.71 770.11 294.28
738.76 355.53 313.66
76.10 260.11 345.68
589.25 838.79 259.76
834.49 875.26 289.04
921.19 850.39 320.43
135.49 648.87 341.73
746.79 575.40 320.55
844.86 200.64 311.04
400.16 735.39 283.14
848.97 387.67 341.10
546.51 242.20 275.68
218.52 165.65 287.73
239.35 316.09 312.76
209.28 807.39 296.15
695.30 750.02 290.78
538.21 594.93 297.14
623.33 872.84 253.47
908.63 804.14 328.08
562.32 404.07 297.84
911.74 788.48 332.49
484.02 352.60 291.92
187.00 403.10 333.35
171.70 196.93 306.04
654.83 389.44 304.35
837.02 383.36 337.44
680.17 521.79 311.79
123.27 627.48 347.32
263.34 532.46 320.54
644.44 502.05 307.95
227.57 944.93 253.52
133.33 287.51 333.41
179.63 213.18 307.50
513.42 76.20 232.81
690.85 789.51 282.32
195.54 396.12 330.52
946.06 424.42 372.58
209.89 174.62 291.90
454.10 138.50 251.98
919.60 592.15 362.67
163.13 810.55 306.35
670.24 319.18 298.61
903.76 383.87 356.17
826.76 630.75 333.76
902.23 737.84 339.39
346.18 589.67 305.65
90.10 340.18 353.50
590.06 657.73 293.62
209.41 487.15 331.73
872.20 859.81 303.26
692.57 61.11 241.57
526.41 88.07 236.70
849.31 584.35 343.30
329.93 135.49 260.88
725.92 652.89 310.55
872.06 77.58 284.99
394.50 379.35 298.64
255.36 305.20 308.20
896.76 507.23 358.97
78.18 834.39 324.98
517.86 705.94 284.30
382.77 95.82 243.76
184.98 214.21 306.46
465.46 119.15 245.91
179.75 402.48 334.96
689.26 95.28 251.89
91.14 232.44 336.05
503.48 948.53 224.53
330.53 587.20 307.96
522.16 546.28 299.28
84.90 106.39 306.32
453.45 218.79 271.20
230.31 453.61 326.25
565.41 949.89 225.67
661.17 358.89 302.27
785.69 865.93 280.34
373.56 416.42 303.41
547.23 187.34 264.35
922.15 639.43 359.42
309.13 178.74 274.84
143.79 60.37 275.10
908.78 696.12 348.33
379.97 759.19 280.02
734.58 584.80 318.10
659.87 865.17 259.50
192.38 504.65 335.31
523.81 807.95 264.78
468.84 509.52 300.52
730.82 601.73 316.17
346.10 393.02 304.64
154.30 947.10 269.87
246.70 309.98 310.72
768.00 406.87 323.54
798.78 246.84 309.37
387.97 688.02 291.25
441.83 161.91 258.45
242.38 313.52 312.03
414.60 522.09 302.53
561.79 808.03 266.02
792.34 354.14 323.94
351.15 140.66 259.73
870.29 738.77 330.02
420.30 307.27 288.59
117.30 814.86 317.74
567.15 675.67 290.10
103.28 338.25 349.13
459.55 852.09 253.90
576.69 675.21 290.48
680.95 689.58 298.78
239.87 460.71 324.60
798.06 55.74 259.39
513.01 283.58 282.56
286.22 803.18 282.81
675.99 316.80 298.99
126.49 585.22 349.43
718.11 913.19 253.65
660.86 444.83 308.41
731.37 909.42 257.10
814.52 106.26 279.01
938.12 558.59 370.56
213.12 927.58 262.21
315.94 96.53 251.79
305.39 737.10 293.23
772.50 752.76 303.94
825.49 271.16 320.19
210.13 330.87 320.99
863.67 720.93 331.14
196.46 728.17 315.06
387.63 369.55 298.33
153.58 936.60 273.60
831.89 824.31 302.07
647.82 695.69 293.93
353.17 484.22 307.80
785.00 668.97 319.71
372.11 259.57 284.44
635.30 683.61 294.03
478.15 782.86 270.39
735.07 943.55 246.75
899.64 347.62 351.07
214.59 319.91 318.52
768.46 205.58 294.52
204.22 845.78 287.76
371.56 849.09 260.42
940.78 282.21 355.15
657.93 904.45 248.04
580.98 259.17 280.67
76.37 295.70 351.68
58.04 481.98 373.04
457.20 439.96 299.46
595.70 405.19 300.18
290.94 61.34 244.41
210.70 746.37 308.57
379.37 795.81 272.48
714.14 378.24 311.49
783.19 412.22 327.08
568.62 507.49 301.94
915.40 870.16 313.49
833.91 250.84 318.46
223.87 679.52 316.53
250.10 804.95 288.44
846.85 529.41 344.63
360.79 788.40 275.86
373.49 530.19 305.74
353.07 249.36 284.53
378.29 662.21 295.75
787.18 70.95 261.82
327.53 920.03 245.14
574.13 719.92 283.71
934.04 484.54 370.43
349.53 114.42 252.84
490.26 496.87 299.86
638.16 492.08 307.32
716.54 508.93 317.49
921.76 92.07 304.26
274.57 561.02 317.49
865.82 690.12 336.46
474.74 101.25 240.60
312.04 474.33 312.93
207.46 760.27 306.85
385.49 710.18 288.39
200.72 671.38 322.44
791.79 876.67 278.93
236.35 338.25 316.35
741.49 715.40 304.43
161.58 621.68 337.51
334.83 871.07 258.75
330.86 563.05 309.08
622.67 934.96 234.58
269.95 243.91 295.31
711.75 699.94 301.89
815.84 920.45 271.19
532.26 151.18 254.87
924.23 763.67 341.35
78.02 323.66 355.12
504.02 883.04 245.04
116.70 521.44 354.78
903.90 52.59 286.02
245.40 177.43 285.45
548.00 773.83 272.93
321.41 304.21 297.50
518.39 848.79 254.67
829.54 943.61 266.99
518.30 166.91 258.73
487.60 282.49 282.51
943.23 228.65 346.21
105.60 96.75 297.30
535.67 397.15 296.33
911.61 210.99 332.31
717.66 629.79 311.41
753.22 53.48 249.24
149.87 662.48 335.96
901.28 945.09 285.92
693.38 564.79 312.25
108.60 134.10 307.38
732.46 135.03 270.41
377.44 777.64 276.79
642.23 522.74 307.29
823.17 383.88 334.10
624.16 614.05 300.76
254.88 480.05 322.25
752.67 452.71 323.01
793.27 477.19 332.02
682.81 210.05 281.06
270.13 573.63 317.74
265.95 425.40 318.56
746.03 696.63 308.31
768.51 179.66 288.39
427.89 666.54 291.54
351.68 610.73 303.83
183.71 945.92 262.73
752.95 447.54 322.75
