X Y Z
899.15 595.75 279.23
701.79 539.70 266.04
615.79 710.81 366.53
561.27 92.82 415.89
935.50 639.59 303.75
388.30 245.65 398.73
886.06 733.86 361.55
590.24 164.51 409.76
149.03 138.90 439.79
494.24 384.14 317.51
504.07 455.60 280.15
329.24 293.20 381.18
225.18 165.92 431.73
924.63 806.63 382.63
949.08 582.27 268.26
156.04 434.04 309.15
77.08 791.26 429.82
664.12 428.55 280.89
425.96 82.81 426.27
343.97 936.87 432.35
763.15 611.08 296.00
553.63 723.90 377.27
205.04 383.22 334.24
728.23 461.35 265.02
637.87 769.86 390.76
113.04 939.85 444.25
466.81 256.45 390.78
246.94 622.09 334.97
280.54 406.33 315.52
456.40 340.53 345.80
611.65 458.58 273.28
164.88 787.20 424.61
77.69 761.09 422.21
915.34 867.20 393.75
127.84 115.23 442.69
517.91 344.06 339.79
359.05 516.83 281.71
443.48 315.62 360.78
118.88 523.88 297.01
846.24 495.97 252.37
573.15 208.01 400.95
452.74 602.97 310.95
896.96 511.99 249.16
318.51 501.06 284.98
841.56 801.74 386.42
371.75 605.77 316.22
450.86 470.77 278.55
856.84 691.02 340.88
167.43 575.05 311.83
629.02 879.56 412.13
834.91 735.64 365.70
742.62 244.71 377.84
424.36 330.30 353.89
830.66 193.90 387.59
866.42 498.10 250.20
541.38 707.49 369.97
490.16 797.42 407.68
506.87 108.39 418.91
863.53 627.91 302.78
625.53 73.21 415.26
646.97 428.71 280.80
156.58 161.17 435.10
281.77 529.32 288.11
757.68 376.23 305.07
238.50 304.33 381.47
113.39 172.98 436.81
111.34 69.76 443.74
276.09 321.75 370.04
577.16 579.69 290.66
324.59 934.93 432.57
526.00 931.54 419.98
834.17 187.64 390.46
792.05 750.51 375.11
838.76 303.73 345.00
210.00 279.73 396.32
505.20 334.14 347.75
646.21 242.75 386.96
712.18 116.24 405.13
298.25 316.36 369.58
824.70 322.99 335.33
590.83 746.36 384.12
125.33 282.23 400.11
887.86 154.94 393.01
120.72 265.29 408.64
567.97 165.26 410.21
360.07 502.72 281.87
770.77 186.41 393.14
659.67 384.11 305.70
270.35 803.11 421.94
233.07 489.39 290.35
206.47 420.47 311.69
481.56 331.77 349.03
280.28 267.83 397.73
873.24 835.08 391.57
411.51 749.00 397.01
831.98 239.03 376.00
546.01 707.31 369.45
81.38 477.70 300.56
784.43 307.08 347.70
67.81 624.00 346.93
934.76 461.67 252.89
353.61 93.38 430.52
885.59 821.05 389.17
286.28 493.13 286.46
118.46 853.51 439.40
395.09 801.00 412.66
478.65 418.14 298.50
150.15 557.18 305.25
460.34 657.73 345.13
320.39 397.89 317.71
785.42 862.47 401.32
409.22 148.58 421.22
589.94 418.27 291.40
817.17 58.42 402.59
209.83 611.87 329.80
160.15 570.33 309.55
76.32 851.53 440.51
822.64 261.52 366.68
841.36 727.28 361.03
876.10 324.53 331.93
596.00 529.48 269.51
365.25 575.53 300.28
668.93 486.43 264.67
503.58 283.48 375.23
382.76 629.57 331.10
642.84 674.10 344.30
656.24 856.13 407.26
273.74 259.96 400.40
829.69 807.45 390.47
915.92 359.00 306.75
308.11 255.73 402.17
871.73 177.20 388.76
795.53 538.72 259.29
893.80 940.03 397.13
869.31 395.84 286.13
776.26 718.26 361.38
636.46 354.63 327.44
113.59 760.90 418.82
886.16 654.75 318.88
690.91 222.71 388.44
910.35 685.19 335.59
280.83 715.43 387.79
632.10 645.89 326.13
592.13 516.93 269.99
560.78 265.64 381.29
538.29 158.02 411.49
319.65 299.83 378.94
290.17 219.20 415.69
442.72 162.18 417.94
549.34 659.42 339.78
473.04 585.96 300.24
613.80 866.07 409.71
589.19 140.28 412.59
328.36 935.20 431.78
333.75 449.13 293.12
417.42 809.59 413.11
506.69 436.24 287.18
802.27 589.59 280.78
502.87 916.97 420.55
474.43 353.38 337.50
124.18 465.82 299.23
424.05 531.81 281.14
388.94 926.84 429.19
304.46 933.53 434.52
165.74 494.75 294.08
333.61 562.57 297.83
753.80 519.92 259.73
438.48 877.64 423.13
151.44 450.48 303.53
208.63 763.40 414.81
697.82 843.46 402.36
860.47 227.55 376.98
398.37 268.43 390.15
341.98 892.14 427.90
484.77 816.19 412.80
140.25 878.38 440.74
721.21 598.00 292.97
269.30 400.79 320.36
582.21 658.25 338.74
453.17 516.37 277.64
244.32 345.38 355.96
110.06 717.19 398.85
947.84 574.42 264.73
219.25 618.98 334.83
126.91 166.87 436.30
744.74 345.24 325.72
710.82 695.68 351.71
214.01 810.36 426.01
243.41 429.78 305.17
853.16 637.13 306.58
501.50 235.70 395.82
725.86 759.65 380.98
473.13 273.36 382.13
379.10 91.62 428.43
182.33 524.85 295.76
694.13 358.51 320.71
452.00 868.74 422.15
249.69 591.18 315.12
887.29 530.46 252.13
134.72 159.56 435.15
378.39 748.77 399.18
823.53 876.44 400.26
126.19 870.18 441.24
57.15 486.06 301.34
156.66 609.93 332.20
449.07 713.29 379.10
845.79 303.79 346.24
742.21 671.75 336.49
448.53 603.68 311.61
515.80 199.77 405.18
108.50 756.23 416.02
492.50 582.71 297.05
160.43 362.71 349.25
226.95 416.18 313.83
732.72 743.94 374.04
284.58 448.98 296.39
491.96 755.60 393.34
603.31 468.72 270.01
371.37 70.42 430.52
369.53 586.47 306.26
62.53 753.02 419.09
325.07 242.09 406.24
375.79 946.83 428.87
183.59 355.21 352.63
860.33 829.52 392.31
430.21 344.05 345.89
936.72 350.52 310.28
684.65 100.36 409.51
87.82 539.35 302.18
911.38 91.92 394.89
293.15 335.67 357.89
460.10 464.26 279.50
529.35 538.89 277.12
564.57 302.54 363.51
887.03 784.98 381.05
520.10 425.11 292.15
454.66 120.07 421.58
405.90 273.90 387.00
729.02 820.38 397.81
733.83 813.92 395.97
165.87 498.90 292.53
220.36 600.08 321.85
155.74 306.20 385.61
67.84 454.67 306.24
415.90 145.79 421.58
709.31 448.78 271.11
594.65 373.58 316.99
783.77 92.00 404.71
665.09 748.13 380.11
702.79 645.21 323.49
91.30 551.98 308.53
144.13 459.03 299.98
694.56 267.99 372.20
590.46 166.16 407.77
407.82 259.10 394.03
335.60 561.08 296.48
413.04 576.52 297.70
198.42 488.63 292.05
623.23 417.95 290.28
343.66 222.06 409.32
225.63 339.67 360.25
70.79 467.94 301.11
59.61 294.80 398.14
900.42 772.63 375.22
332.80 78.64 429.96
125.33 580.24 316.91
860.08 806.94 386.70
265.21 439.97 298.71
930.99 642.27 307.36
520.69 95.45 418.50
336.52 362.55 339.93
722.35 501.65 258.73
374.38 623.60 328.23
496.44 634.60 327.81
209.62 358.66 349.70
643.89 655.93 331.34
549.59 172.45 410.93
257.05 225.68 413.61
554.34 698.22 363.54
872.52 733.68 361.16
73.53 185.76 436.15
680.56 666.11 337.57
786.98 863.08 399.31
656.05 759.30 386.96
621.26 928.26 415.01
355.98 303.83 373.46
336.32 527.22 286.09
136.12 83.28 442.47
460.06 337.59 347.52
387.91 778.56 406.81
900.92 874.20 394.39
158.94 792.26 426.70
529.54 808.25 405.91
744.25 53.99 406.42
490.41 814.85 409.91
73.30 682.79 384.46
942.10 257.42 361.37
741.24 834.57 398.73
215.86 346.65 357.27
720.61 504.09 261.01
628.29 598.17 296.13
922.26 803.88 382.95
73.70 826.03 436.88
140.63 260.02 410.24
669.49 928.45 412.65
473.45 635.21 328.77
733.01 175.23 397.33
695.14 618.52 304.33
201.05 627.06 340.98
892.88 594.54 280.27
427.02 841.20 417.94
159.52 805.01 428.11
68.69 306.52 390.40
651.08 336.07 337.12
163.11 346.26 360.02
148.17 52.83 443.10
810.66 704.55 351.28
