X Y Z
193.28 820.97 309.79
396.49 327.45 428.34
387.30 832.09 330.69
689.42 464.21 434.78
116.18 776.76 305.07
837.75 516.24 336.40
920.40 906.05 300.69
758.58 212.19 319.68
264.48 515.15 400.19
375.52 334.50 421.87
88.72 318.83 307.55
108.90 408.03 316.26
759.28 507.14 380.24
441.91 249.59 382.87
504.95 215.43 363.35
577.23 531.82 521.07
113.77 835.42 302.64
319.34 418.73 429.26
675.28 673.93 390.72
633.21 335.20 419.57
572.19 129.34 322.74
742.03 55.25 302.87
166.31 755.44 312.32
205.73 713.67 328.33
85.13 749.28 304.93
512.66 364.42 484.19
697.72 918.95 307.42
723.15 649.82 373.66
462.15 557.58 532.25
467.06 157.40 335.68
271.13 747.21 337.07
652.10 575.03 453.84
76.23 825.83 300.98
296.57 592.80 409.04
465.35 296.10 423.77
628.36 830.39 329.53
306.68 149.66 316.46
304.75 764.85 342.15
173.39 657.62 328.76
487.00 213.73 363.71
738.10 766.17 329.28
841.10 249.79 311.98
247.08 736.69 333.42
283.95 773.86 332.64
590.37 647.54 452.15
680.61 235.99 346.05
859.91 867.62 303.50
85.64 815.92 303.78
465.36 185.01 347.56
945.16 743.30 302.47
817.17 501.03 347.77
226.19 362.22 352.25
732.40 823.13 316.52
137.91 455.97 326.18
626.20 922.33 310.20
478.93 257.94 394.68
640.56 536.54 477.02
668.51 389.27 426.88
920.06 549.07 314.15
931.64 88.26 299.33
494.00 936.59 309.74
460.61 456.51 535.06
322.31 359.69 407.04
252.37 748.01 332.29
284.74 434.85 407.65
212.81 805.29 314.46
335.65 624.14 422.12
551.23 252.13 387.38
410.43 285.91 400.44
244.53 941.00 301.87
842.97 366.17 326.14
658.09 271.36 369.37
382.66 126.52 319.55
169.59 252.66 314.44
869.17 944.23 301.53
185.26 136.19 306.39
326.70 543.90 447.94
757.29 460.69 381.62
621.10 295.70 399.07
783.50 667.52 341.42
168.81 250.32 313.33
825.94 908.83 303.25
567.69 449.22 521.90
801.22 266.02 322.16
116.30 489.75 322.11
355.95 948.71 306.12
510.19 821.44 343.38
508.24 945.06 309.07
728.62 530.66 403.35
78.49 123.48 301.00
588.22 463.05 514.22
141.04 421.62 325.88
174.10 709.41 320.44
316.22 394.10 418.50
742.61 607.40 376.99
676.50 454.54 444.86
292.66 143.16 314.01
836.46 842.08 304.02
673.30 488.63 450.17
230.37 360.99 353.36
248.47 516.87 386.51
200.42 83.63 304.40
362.93 769.65 354.56
471.36 855.45 329.59
729.50 289.23 349.93
635.19 191.22 337.05
491.97 753.96 386.21
782.06 374.98 351.96
393.92 201.25 345.37
761.54 756.31 327.79
53.84 680.82 306.01
887.22 489.76 321.87
676.06 507.81 450.11
177.19 784.11 311.69
797.29 840.39 307.96
88.66 458.45 315.06
608.10 756.03 368.20
857.88 216.76 306.68
762.46 258.41 329.45
622.81 850.73 326.42
57.28 817.42 302.90
751.20 490.20 387.06
91.52 714.37 306.35
747.19 159.43 313.23
306.81 785.40 334.53
327.47 724.79 364.97
700.38 488.72 427.80
459.26 674.99 444.48
814.60 707.94 323.14
69.34 603.86 308.92
283.10 561.94 408.45
335.14 519.19 457.71
778.15 375.41 351.81
